Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
CA;;AirGradient Monitor, Gatineau, Quebec, Canada;45.499661209969304, -75.73283069009466;TEMPERATURE;airgradient;c;23.849409103393555;2024-09-30T06:30:00+05:30;Canada
CA;;Strathcona;49.276261, -123.092619;TEMPERATURE;airgradient;c;26.399999618530273;2023-08-23T02:30:00+05:30;Canada
GB;;135 Wincheap;51.27224121233743, 1.0687339793186899;TEMPERATURE;airgradient;c;20.359895706176758;2024-03-10T23:30:00+05:30;United Kingdom
GH;;Physics Department-UG-Accra/CAOA-UESD;5.651, -0.186;TEMPERATURE;airgradient;c;27.288467248280842;2025-01-14T04:30:00+05:30;Ghana
IT;;P.za della Vittoria, 23807 Merate LC;45.69803614593301, 9.418335059440794;TEMPERATURE;airgradient;c;12.851101239522299;2023-12-11T21:30:00+05:30;Italy
TJ;;19 microdistrict;40.2958293, 69.6089663;TEMPERATURE;airgradient;c;19.825595060984295;2024-04-13T23:30:00+05:30;Tajikistan
TH;;Nongnangpittayakom school 1, Tha Bo, Nong Khai;17.83218858266286, 102.56660888425778;TEMPERATURE;airgradient;c;32.275069872538246;2024-07-06T13:30:00+05:30;Thailand
AU;;Anzac Memorial;-33.8757279, 151.1388636;TEMPERATURE;airgradient;c;24.63255961736043;2025-01-14T04:30:00+05:30;Australia
AT;;In Gumpolding 18, Outdoor Sensor;48.26940303035886, 14.14624520136225;TEMPERATURE;airgradient;c;26.99583339691162;2024-08-18T01:30:00+05:30;Austria
IT;;Cittanova;38.34782816126602, 16.08657785718319;TEMPERATURE;airgradient;c;29.42395846048991;2024-08-05T16:30:00+05:30;Italy
TH;;Pathumthep witthayakarn school 1, Mueang, Nong Khai;17.866408250878237, 102.74806318240316;TEMPERATURE;airgradient;c;32.138055642445885;2024-07-06T13:30:00+05:30;Thailand
NL;;Utrecht NLH;52.09475147857455, 5.13453641455347;TEMPERATURE;airgradient;c;7.099999904632568;2025-01-14T04:30:00+05:30;Netherlands
CL;;iDEALAB;-38.745812, -72.616457;TEMPERATURE;airgradient;c;24.751726309458416;2023-10-05T20:30:00+05:30;Chile
MX;;Rincon del Bosque, CDMX;19.430045776952728, -99.18183463386997;TEMPERATURE;airgradient;c;18.966785430908203;2025-01-14T04:30:00+05:30;Mexico
NL;;Wierden;52.35917, 6.59306;TEMPERATURE;airgradient;c;-0.2411369134982427;2025-01-14T04:30:00+05:30;Netherlands
NL;;Didam, NL;51.94063604904484, 6.123727385278134;TEMPERATURE;airgradient;c;5.2162500222524;2025-01-14T04:30:00+05:30;Netherlands
CA;;Westmount;53.5500844, -113.5458698;TEMPERATURE;airgradient;c;11.698660771052042;2024-10-01T19:30:00+05:30;Canada
CA;;Burnaby, SFU;49.2535808, -122.9006069;TEMPERATURE;airgradient;c;21.174999713897705;2023-09-21T05:30:00+05:30;Canada
ES;;La Sagrera;41.424066334836034, 2.185756745065996;TEMPERATURE;airgradient;c;26.836249987284344;2024-06-29T03:30:00+05:30;Spain
TH;;Waterfall Road;8.028016264564139, 98.35527762231732;TEMPERATURE;airgradient;c;24.975000222524006;2023-09-26T06:30:00+05:30;Thailand
