Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
TH;;intERLab, Pathumthani, Thailand;14.077551603647665, 100.61278750267229;RELATIVEHUMIDITY;airgradient;%;46.13598219553629;2024-06-23T06:30:00+05:30;Thailand
CH;;Arnikastrasse;47.5848, 7.6499;RELATIVEHUMIDITY;airgradient;%;49.4842856725057;2025-01-14T04:30:00+05:30;Switzerland
TH;;Pathumthep witthayakarn school 1, Mueang, Nong Khai;17.866408250878237, 102.74806318240316;RELATIVEHUMIDITY;airgradient;%;70.47312418619792;2024-07-06T13:30:00+05:30;Thailand
NL;;Utrecht NLH;52.09475147857455, 5.13453641455347;RELATIVEHUMIDITY;airgradient;%;61.099998474121094;2025-01-14T04:30:00+05:30;Netherlands
AU;;Deck;-35.36610384484214, 149.08211305494842;RELATIVEHUMIDITY;airgradient;%;41.96083418528239;2024-05-13T11:30:00+05:30;Australia
TH;;NARIT ASTROPARK (Parking);18.85345541310349, 98.95760600870581;RELATIVEHUMIDITY;airgradient;%;66.14458274841309;2024-07-06T13:30:00+05:30;Thailand
ID;;Depok;-6.409456, 106.856152;RELATIVEHUMIDITY;airgradient;%;58.19226201375326;2025-01-14T04:30:00+05:30;Indonesia
CA;;Red Mountain Rd, Silverton;49.9340719, -117.3513185;RELATIVEHUMIDITY;airgradient;%;35.76116021474203;2025-01-14T04:30:00+05:30;Canada
GH;;Built Environment UESD;6.05246, -0.00783;RELATIVEHUMIDITY;airgradient;%;47.39349206288656;2024-10-02T18:30:00+05:30;Ghana
AT;;In Gumpolding 18, Outdoor Sensor;48.26940303035886, 14.14624520136225;RELATIVEHUMIDITY;airgradient;%;48.77500025431315;2024-08-18T01:30:00+05:30;Austria
ES;;La Sagrera;41.424066334836034, 2.185756745065996;RELATIVEHUMIDITY;airgradient;%;50.57458305358887;2024-06-29T03:30:00+05:30;Spain
IE;;St. Lomans Street, Trim, Meath;53.558587990597054, -6.790756104440302;RELATIVEHUMIDITY;airgradient;%;73.43272336324056;2024-12-20T15:30:00+05:30;Ireland
TH;;Nongnangpittayakom school 1, Tha Bo, Nong Khai;17.83218858266286, 102.56660888425778;RELATIVEHUMIDITY;airgradient;%;71.22000058492024;2024-07-06T13:30:00+05:30;Thailand
GB;;Dame Emily Park;51.44276, -2.60125;RELATIVEHUMIDITY;airgradient;%;48.65371958414713;2024-09-13T01:30:00+05:30;United Kingdom
